entity_type,is_in_zone,loitering_duration,persons_in_zone,speed_category,is_moving_toward_zone,is_night_mode,posture,is_erratic,hour_of_day,direction_toward_zone,crowd_density_gradient,has_weapon,time_since_last,has_readable_plate,is_unauthorized_plate,distance_to_boundary,acceleration_magnitude,threat_score
0,1,26.29585321277137,4,1,0,0,0,0,6,0.09290009870351684,4.820928916463626,0,55.449315560349234,0,0,0.0,0.5347676015115026,56.2
0,1,401.03971586980674,19,1,0,1,0,1,4,0.013013948098199168,1.1966884321717455,0,34.99651559324243,0,0,0.0,2.263986582220283,89.6
0,1,151.87837532500254,7,1,0,0,0,0,21,0.13724864412037457,1.0945759891069837,0,53.32698718628307,0,0,0.0,0.007715950424791318,63.6
0,1,369.8716618026513,6,0,0,0,1,1,10,0.21625079955134874,-0.2926227269625876,0,28.949701218701914,0,0,0.0,2.982418975675704,100.0
0,0,0.0,0,1,1,0,0,0,16,0.3505978401193003,0.0,0,34.390313689966646,0,0,0.8151516670906629,0.45681031488933843,24.6
1,1,297.1328309885631,0,1,0,0,0,1,6,0.21077160283893712,0.0,0,15.7697845292644,1,0,0.0,1.6634357818654806,89.3
0,1,99.36613474052456,11,0,0,0,1,0,2,0.023825865913618127,3.955793016209216,0,9.163995989152262,0,0,0.0,0.6303977051786392,86.6
0,0,0.0,0,2,0,0,0,0,9,0.22314910468904428,0.0,0,29.43916357012896,0,0,0.24200508472597926,2.802004170042211,4.1
1,0,0.0,0,0,0,0,0,0,13,0.11761033560238993,0.0,0,13.88953718313944,0,0,0.9248687964964604,0.7183006133144277,23.3
1,0,0.0,0,2,1,1,0,1,16,0.9263752414271292,0.0,0,40.32802192305444,1,0,0.8347987960280271,3.2436377249744432,95.5
0,1,32.50392564865583,1,2,0,0,4,0,7,0.006326477531034436,4.088387745808422,0,22.455825758221593,0,0,0.0,1.6225130580810299,75.4
1,0,0.0,0,0,0,0,0,1,10,0.14420336822790505,0.0,0,8.296407566010906,1,0,0.47993482374202334,4.164763540211222,31.1
0,1,248.02623361060523,17,2,0,0,0,0,21,0.10741245475126873,1.0656917906270444,0,36.43210744256979,0,0,0.0,2.0462962280995316,96.1
1,0,0.0,0,2,1,1,0,0,20,0.20801545332118598,0.0,0,55.99024875929984,1,0,0.47809279013942285,0.766396479479756,50.3
1,0,0.0,0,1,1,1,0,1,23,0.6571287156558734,0.0,0,19.35712873294735,1,0,0.9145544040302682,1.2083757359787421,39.0
1,0,0.0,0,1,1,1,0,0,1,0.9931399939398091,0.0,0,49.071698052303745,0,0,0.7428199269897992,0.44415249343041335,42.9
1,0,0.0,0,2,1,1,0,0,3,0.3650507151855208,0.0,0,51.431978552073474,1,0,0.19255040944203416,3.3602860027478587,66.6
0,0,0.0,0,2,0,1,0,0,13,0.134497076426502,0.0,0,17.40603280217697,0,0,0.24208443827752868,3.7393152927264257,1.3
1,1,210.41515495277,15,2,0,1,0,1,20,0.07046434918452787,3.9956965399701856,0,22.74258856185362,0,0,0.0,0.7280720520704507,100.0
0,1,576.9442191095022,3,0,0,0,0,1,12,0.1818767773152382,-1.9055995861775084,0,53.19468241709616,0,0,0.0,3.015654809015095,88.4
0,0,0.0,0,2,1,1,3,1,7,0.30435578233008637,0.0,0,50.87360301739022,0,0,0.8516525720869771,2.9752116771210173,27.4
1,1,83.11392532483521,8,2,0,0,0,0,17,0.1359791145045005,-0.8243875589222431,0,24.71719081259083,0,0,0.0,2.984880547537247,100.0
1,1,452.188291959455,20,0,0,0,0,0,3,0.07537269358134979,4.973361269264339,0,52.49177030966044,0,0,0.0,0.6322748730329799,79.3
1,1,203.33317823059696,8,0,0,0,0,1,11,0.03135286437176388,3.5482488026437267,0,34.29178091266733,1,0,0.0,3.940794866535467,100.0
0,0,0.0,0,0,0,1,1,0,7,0.010996399013263936,0.0,0,7.779987239903916,0,0,0.30782363145946356,0.29008974186234404,19.4
1,1,6.9370914825594765,19,0,0,1,0,1,8,0.05835938623793571,0.11900403341765342,0,57.01099777514205,1,0,0.0,1.0206351016647968,59.1
0,1,134.95321298755175,14,2,0,1,3,1,1,0.11134854186335352,0.7561558754728317,0,21.69124541692733,0,0,0.0,1.5794921910865631,73.9
1,0,0.0,0,2,0,0,0,0,4,0.21911765995661578,0.0,0,53.31319085224308,1,0,0.1020445200700565,1.474573195041056,27.2
0,1,533.8773564573452,5,1,0,0,1,1,14,0.02057425366089749,2.505213602214962,0,9.87100706695919,0,0,0.0,4.20057754605424,100.0
0,0,0.0,0,1,0,0,0,0,23,0.19833629836573868,0.0,0,55.56141231953966,0,0,0.389340483674156,0.5448737064038401,8.0
